epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.92,1.87664,3.0049,1.5095,0.54003,0.61647,0.61598,0.29757,1.81488,1.70149,1.46366,0.000475112,0.000475112,0.000475112
2,481.846,1.74672,1.44665,1.47467,0.64155,0.65349,0.68167,0.32968,1.6736,1.57596,1.39588,0.000857252,0.000857252,0.000857252
3,717.732,1.68433,1.30829,1.44242,0.68969,0.67807,0.73068,0.35418,1.67347,1.51014,1.42027,0.00114508,0.00114508,0.00114508
4,953.535,1.6439,1.23845,1.42091,0.82797,0.70034,0.82171,0.44654,1.58021,1.29989,1.33789,0.00100459,0.00100459,0.00100459
5,1189.36,1.58818,1.13054,1.38162,0.81148,0.80089,0.86051,0.46712,1.60376,1.13528,1.3603,0.000863116,0.000863116,0.000863116
6,1425.35,1.53432,1.04629,1.35717,0.85486,0.84719,0.90765,0.52241,1.52048,1.13968,1.29907,0.000721645,0.000721645,0.000721645
7,1661.11,1.49325,0.97163,1.32747,0.87682,0.85654,0.91589,0.54795,1.50278,1.04263,1.28992,0.000580174,0.000580174,0.000580174
8,1896.97,1.45059,0.92974,1.2981,0.91054,0.90466,0.94391,0.57341,1.48503,1.01974,1.27906,0.000438703,0.000438703,0.000438703
9,2133.02,1.40882,0.87461,1.27133,0.91647,0.89727,0.94028,0.58259,1.46307,0.92251,1.263,0.000297232,0.000297232,0.000297232
10,2368.78,1.36604,0.83149,1.24955,0.91389,0.90644,0.94561,0.58389,1.43679,0.93504,1.25392,0.000155761,0.000155761,0.000155761
